type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA,machine_timestamp
CSI_DATA,STA,C8:F0:9E:F2:A4:F5,-79,11,1,0,1,1,1,0,0,0,0,-97,0,6,1,219524716,0,110,0,0,219.72,384,[110 96 6 0 0 0 0 0 0 0 0 0 -12 -16 -11 -19 -8 -19 -9 -16 -9 -18 -9 -21 -6 -17 -8 -18 -9 -18 -8 -15 -7 -22 -9 -17 -6 -17 -5 -19 -7 -17 -6 -17 -7 -15 -7 -15 -7 -19 -7 -19 -7 -15 -7 -17 -8 -13 -4 -14 -7 -15 -10 -17 0 0 -10 -12 -8 -15 -10 -17 -9 -13 -6 -17 -8 -14 -12 -15 -9 -16 -10 -12 -10 -9 -10 -11 -9 -13 -8 -12 -13 -13 -12 -11 -10 -12 -12 -11 -12 -11 -11 -10 -11 -10 -13 -12 -14 -12 -10 -9 -14 -12 -10 -12 -12 -9 0 0 0 0 0 0 0 0 0 0 ],1731669440.9637172
CSI_DATA,STA,C8:F0:9E:F2:A4:F5,-75,11,0,0,0,0,0,0,0,0,0,-97,0,6,1,219539427,0,110,0,0,219.731,128,[110 96 6 0 0 0 0 0 0 0 0 0 26 -5 28 -6 26 -3 29 -4 24 -1 26 -1 26 -1 24 0 23 1 25 1 24 3 22 -1 25 1 19 1 21 3 22 0 25 1 18 1 20 3 20 1 20 1 19 1 20 -1 21 0 17 -1 18 -1 0 0 19 -2 20 1 21 0 20 -3 18 -1 18 -1 17 2 18 -1 21 -3 17 -2 17 -3 18 -4 19 -5 15 -5 15 -4 18 -6 17 -5 17 -6 17 -3 17 -5 16 -5 16 -5 13 -5 16 -5 14 -7 13 -7 0 0 0 0 0 0 0 0 0 0 ],1731669440.9637172
CSI_DATA,STA,C8:F0:9E:F2:A4:F5,-75,11,0,0,0,0,0,0,0,0,0,-97,0,6,1,219541991,0,110,0,0,219.737,128,[110 96 6 0 0 0 0 0 0 0 0 0 -26 -7 -27 -11 -23 -9 -24 -13 -26 -9 -23 -13 -25 -13 -22 -12 -24 -14 -19 -12 -22 -15 -22 -14 -21 -14 -23 -10 -19 -13 -22 -14 -19 -12 -17 -12 -19 -12 -19 -11 -19 -12 -22 -11 -17 -10 -19 -10 -20 -11 -18 -11 0 0 -19 -9 -21 -8 -18 -8 -19 -9 -21 -7 -19 -8 -18 -5 -19 -9 -18 -8 -20 -7 -19 -6 -18 -5 -17 -5 -17 -5 -17 -4 -19 -5 -17 -2 -20 -2 -16 -2 -18 -3 -16 -2 -18 -2 -18 0 -17 -1 -17 0 -18 -1 0 0 0 0 0 0 0 0 0 0 ],1731669440.979341
CSI_DATA,STA,C8:F0:9E:F2:A4:F5,-74,11,0,0,0,0,0,0,0,0,0,-97,0,6,1,219545473,0,110,0,0,219.744,128,[110 96 6 0 0 0 0 0 0 0 0 0 6 9 6 8 6 10 5 10 5 9 5 10 5 9 3 9 4 9 4 9 4 10 4 9 4 9 4 9 4 9 3 10 4 9 3 9 3 9 2 9 3 7 3 8 4 7 4 8 3 8 4 8 0 0 3 8 4 8 4 9 5 8 4 7 4 8 4 7 3 8 4 6 3 6 4 7 3 6 5 7 4 7 4 7 4 7 5 5 4 7 4 6 5 6 5 7 5 6 4 6 5 6 4 5 3 4 0 0 0 0 0 0 0 0 0 0 ],1731669440.979341
CSI_DATA,STA,C8:F0:9E:F2:A4:F5,-75,11,0,0,0,0,0,0,0,0,0,-97,0,6,1,219555504,0,110,0,0,219.75,128,[110 96 6 0 0 0 0 0 0 0 0 0 -22 -13 -21 -15 -20 -16 -22 -16 -18 -15 -21 -16 -19 -16 -19 -18 -18 -18 -19 -15 -17 -17 -16 -18 -18 -14 -16 -17 -18 -18 -17 -17 -16 -18 -14 -16 -16 -18 -16 -18 -17 -17 -15 -16 -15 -14 -15 -16 -16 -17 -18 -17 0 0 -16 -15 -13 -15 -16 -15 -15 -15 -15 -16 -16 -15 -17 -15 -17 -15 -15 -13 -15 -13 -17 -13 -14 -11 -19 -11 -17 -12 -15 -13 -19 -13 -17 -12 -19 -13 -18 -12 -17 -11 -17 -10 -18 -11 -17 -9 -20 -8 -19 -8 -19 -9 0 0 0 0 0 0 0 0 0 0 ],1731669440.994967
CSI_DATA,STA,C8:F0:9E:F2:A4:F5,-78,11,1,0,1,1,1,0,0,0,0,-97,0,6,1,219556531,0,110,0,0,219.757,384,[110 96 6 0 0 0 0 0 0 0 0 0 -4 18 -7 19 -8 19 -9 18 -8 18 -7 17 -8 15 -5 18 -8 16 -8 15 -7 16 -10 15 -8 17 -9 16 -10 15 -9 15 -10 16 -7 14 -9 16 -10 14 -8 15 -8 18 -9 14 -8 15 -8 16 -8 16 0 0 -7 14 -6 14 -9 17 -7 14 -8 15 -6 15 -7 13 -6 15 -6 16 -5 15 -6 15 -6 14 -3 15 -6 16 -4 14 -4 15 -1 13 -3 15 -3 15 -3 14 0 14 -3 14 1 14 -1 16 -3 14 -1 13 0 0 0 0 0 0 0 0 0 0 ],1731669440.994967
CSI_DATA,STA,C8:F0:9E:F2:A4:F5,-79,11,1,0,1,1,1,0,0,0,0,-97,0,6,1,219556900,0,110,0,0,219.762,384,[110 96 6 0 0 0 0 0 0 0 0 0 7 -19 7 -19 7 -17 7 -19 7 -19 8 -16 8 -17 9 -16 9 -18 9 -15 8 -14 10 -17 13 -16 9 -16 10 -13 12 -12 11 -12 9 -14 8 -14 10 -13 9 -12 12 -12 13 -12 9 -12 11 -14 11 -14 0 0 9 -11 8 -12 10 -13 8 -13 10 -12 11 -15 10 -13 9 -14 9 -11 11 -12 10 -14 8 -11 9 -13 7 -13 10 -12 7 -14 7 -14 7 -13 8 -12 6 -12 9 -12 8 -12 7 -13 8 -14 12 -13 6 -14 0 0 0 0 0 0 0 0 0 0 ],1731669440.994967
CSI_DATA,STA,C8:F0:9E:F2:A4:F5,-78,11,1,0,1,1,1,0,0,0,0,-97,0,6,1,219557294,0,110,0,0,219.768,384,[110 96 6 0 0 0 0 0 0 0 0 0 18 -12 18 -9 17 -7 18 -9 17 -4 16 -6 17 -5 16 -6 17 -6 16 -5 17 -6 14 -5 18 -6 16 -3 16 -6 18 -3 17 -3 14 -5 14 -4 16 -2 16 -4 14 -2 16 -2 15 -4 17 -5 17 -4 0 0 16 -2 17 -4 16 -4 12 -3 15 -4 16 -6 14 -2 15 -4 18 -3 13 -6 16 -7 14 -6 14 -7 16 -7 14 -4 14 -6 14 -7 13 -10 14 -5 16 -9 14 -8 11 -7 12 -8 13 -9 14 -6 12 -8 0 0 0 0 0 0 0 0 0 0 ],1731669441.0105891
CSI_DATA,STA,C8:F0:9E:F2:A4:F5,-80,11,1,0,1,1,1,0,0,0,0,-97,0,6,1,219564437,0,110,0,0,219.774,384,[110 96 6 0 0 0 0 0 0 0 0 0 15 -12 15 -11 14 -10 16 -13 16 -12 14 -8 14 -8 15 -6 15 -9 15 -6 14 -9 13 -8 17 -7 16 -10 14 -4 15 -9 15 -6 14 -5 14 -7 15 -4 12 -7 14 -10 12 -8 12 -6 15 -8 15 -6 0 0 14 -11 15 -10 15 -7 14 -10 12 -8 16 -8 14 -7 13 -6 12 -3 10 -8 11 -10 9 -9 11 -9 11 -10 11 -10 10 -12 9 -13 13 -11 12 -9 8 -14 9 -10 9 -11 7 -10 8 -12 9 -13 5 -12 0 0 0 0 0 0 0 0 0 0 ],1731669441.0105891
CSI_DATA,STA,C8:F0:9E:F2:A4:F5,-77,11,0,0,0,0,0,0,0,0,0,-97,0,6,1,219576847,0,110,0,0,219.78,128,[110 96 6 0 0 0 0 0 0 0 0 0 11 14 16 15 12 14 14 17 11 16 11 16 9 16 8 17 10 16 8 12 7 17 12 15 8 18 9 15 9 14 9 17 10 14 8 14 8 16 12 16 8 13 8 17 9 14 8 14 10 16 9 15 0 0 9 12 10 12 11 16 9 14 9 15 9 12 9 11 11 15 10 9 8 9 10 12 9 11 8 10 9 9 10 10 11 10 8 9 11 10 11 11 11 8 11 10 10 8 9 8 11 7 10 9 8 10 0 0 0 0 0 0 0 0 0 0 ],1731669441.026215
